FixationIndex	Timestamp	FixationDuration	FixationPointX	FixationPointY	StimuliName
410	145579	179	673	247	www.avg.com
411	145759	199	461	228	www.avg.com
412	145958	1416	947	296	www.avg.com
413	147374	199	990	307	www.avg.com
414	147573	259	944	304	www.avg.com
415	147832	239	990	300	www.avg.com
416	148072	160	892	695	www.avg.com
417	148231	399	962	770	www.avg.com
418	148630	439	780	764	www.avg.com
419	149068	199	778	530	www.avg.com
420	149268	359	909	500	www.avg.com
421	149786	379	903	480	www.avg.com
422	150165	180	955	356	www.avg.com
423	150344	179	976	311	www.avg.com
424	150524	239	941	294	www.avg.com
425	150763	399	668	285	www.avg.com
426	151162	319	938	290	www.avg.com
427	151481	319	902	677	www.avg.com
428	151800	140	591	475	www.avg.com
429	151939	140	449	223	www.avg.com
430	152079	339	255	140	www.avg.com
431	152418	598	262	29	www.avg.com
432	153016	279	57	230	ScreenRec
433	153295	200	534	821	ScreenRec
434	153495	359	743	775	www.apple.com
435	153853	179	444	491	www.apple.com
436	154033	140	372	372	www.apple.com
437	154172	279	342	270	www.apple.com
438	154451	299	778	254	www.apple.com
439	154751	279	332	228	www.apple.com
440	155030	199	446	240	www.apple.com
441	155229	219	770	268	www.apple.com
442	155448	179	708	721	www.apple.com
443	155628	239	525	774	www.apple.com
444	155867	179	390	472	www.apple.com
445	156046	339	316	453	www.apple.com
446	156385	219	298	262	www.apple.com
447	156605	319	778	235	www.apple.com
448	156924	219	421	223	www.apple.com
449	157143	120	348	243	www.apple.com
450	157263	399	813	267	www.apple.com
451	157661	159	845	337	www.apple.com
452	157821	199	405	436	www.apple.com
453	158020	439	328	457	www.apple.com
454	158459	479	809	325	www.apple.com
455	158937	219	515	663	www.apple.com
456	159157	339	538	776	www.apple.com
457	159495	240	761	804	www.apple.com
458	159735	179	744	767	www.apple.com
459	159914	239	423	482	www.apple.com
460	160154	180	334	483	www.apple.com
461	160333	199	341	283	www.apple.com
462	160532	279	761	271	www.apple.com
463	160811	498	815	265	www.apple.com
464	161310	299	831	578	www.apple.com
465	161609	239	797	546	www.apple.com
466	161848	359	836	361	www.apple.com
467	162207	738	847	299	www.apple.com
468	162945	299	433	375	www.apple.com
469	163244	159	414	327	www.apple.com
470	163403	299	800	298	www.apple.com
471	163702	499	840	532	www.apple.com
472	164201	279	849	465	www.apple.com
473	164480	159	804	443	www.apple.com
474	164639	199	460	298	www.apple.com
475	164839	199	869	798	www.apple.com
476	165038	259	768	833	www.apple.com
477	165297	259	559	814	www.apple.com
478	165556	179	523	812	www.apple.com
479	165736	219	512	764	www.apple.com
480	165955	159	671	791	www.apple.com
481	166115	159	723	806	www.apple.com
482	166274	140	956	836	www.apple.com
483	166414	219	410	429	www.apple.com
484	166633	179	330	452	www.apple.com
485	166812	299	310	258	www.apple.com
486	167112	179	411	247	www.apple.com
487	167291	179	336	303	www.apple.com
488	167470	299	283	253	www.apple.com
489	167769	239	407	243	www.apple.com
490	168009	339	289	248	www.apple.com
491	168507	399	287	266	www.apple.com
492	168906	199	371	248	www.apple.com
493	169105	439	263	248	www.apple.com
494	169544	239	435	231	www.apple.com
495	169783	160	468	248	www.apple.com
496	169943	199	352	309	www.apple.com
497	170142	239	286	316	www.apple.com
498	170381	219	351	485	www.apple.com
499	170600	140	418	474	www.apple.com
500	170740	339	729	823	www.apple.com
501	171079	439	548	801	www.apple.com
502	171518	279	710	734	www.apple.com
503	171797	279	814	493	www.apple.com
504	172076	219	411	834	www.apple.com
505	172295	299	278	845	www.apple.com
506	172594	399	257	742	www.apple.com
